FID,Type,Code,Lithology,Altitude,Slope,Total curvature,Aspect,Distance to road,Distance to stream,Slope length,TWI,STI
0,slide,1,1,1,2,1,7,1,5,2,4,1
1,slide,1,1,1,3,1,4,2,2,2,5,1
2,slide,1,1,1,2,3,7,1,1,1,3,0
3,slide,1,1,1,3,1,10,1,2,2,4,0
4,slide,1,1,1,3,1,10,1,4,3,5,0
5,slide,1,1,2,2,1,6,1,4,2,4,0
6,slide,1,1,1,2,2,5,1,3,1,5,0
7,slide,1,7,2,3,1,4,2,4,2,4,1
8,slide,1,7,2,3,3,3,2,2,1,0,1
9,slide,1,7,1,3,2,10,3,1,1,3,1
10,slide,1,1,1,2,1,9,2,1,1,6,0
11,slide,1,1,1,2,3,8,1,1,1,4,0
12,slide,1,1,1,3,3,10,1,3,2,0,0
13,slide,1,1,1,1,1,4,1,3,1,2,2
14,slide,1,1,1,3,3,5,2,1,3,5,1
15,slide,1,1,1,1,1,5,1,2,1,3,0
16,slide,1,7,1,3,3,6,2,1,1,0,1
17,slide,1,1,1,2,3,5,1,1,1,0,1
18,slide,1,1,1,2,1,6,1,2,1,2,0
19,slide,1,1,1,2,3,9,1,2,1,0,0
20,slide,1,1,1,2,3,4,1,1,1,0,1
21,slide,1,1,1,1,1,9,1,2,1,2,1
22,slide,1,1,1,2,2,2,1,3,1,0,1
23,slide,1,7,2,3,1,4,2,1,2,4,1
24,slide,1,7,2,4,3,7,1,1,2,2,1
25,slide,1,1,1,2,3,6,1,2,2,0,1
26,slide,1,1,1,1,1,5,1,5,1,5,0
27,slide,1,1,1,1,1,9,1,1,1,3,0
28,slide,1,1,1,3,3,4,1,2,1,0,0
29,slide,1,1,1,1,2,8,2,2,1,0,0
30,slide,1,1,1,2,1,3,1,1,2,0,2
31,slide,1,1,1,1,1,5,1,6,1,3,0
32,slide,1,7,2,2,1,9,2,3,1,0,0
33,slide,1,1,1,3,2,7,2,2,1,0,0
34,slide,1,1,1,1,3,6,1,4,1,2,1
35,slide,1,1,1,2,3,9,1,3,1,0,0
36,slide,1,7,2,3,1,6,1,4,2,5,1
37,slide,1,1,1,1,2,1,1,3,1,0,1
38,slide,1,1,2,3,1,4,1,3,2,0,0
39,slide,1,7,2,2,1,6,1,3,1,0,1
40,slide,1,1,1,1,1,10,2,2,1,5,0
41,nonslide,0,1,2,2,1,5,1,3,1,0,1
42,nonslide,0,7,2,3,1,7,1,3,3,5,2
43,nonslide,0,1,2,3,3,7,1,3,1,0,0
44,nonslide,0,1,2,2,3,8,1,4,2,0,1
45,nonslide,0,1,2,3,2,9,1,3,2,0,0
46,nonslide,0,7,2,1,2,8,1,4,1,0,2
47,nonslide,0,1,2,4,1,6,1,3,3,0,1
48,nonslide,0,1,2,2,1,8,1,3,1,0,0
49,nonslide,0,1,2,2,1,7,1,3,1,2,0
50,nonslide,0,7,2,3,1,8,1,3,2,0,0
51,nonslide,0,1,1,2,3,6,1,1,1,0,0
52,nonslide,0,1,1,3,1,7,1,1,2,0,0
53,nonslide,0,1,1,4,2,8,1,2,1,0,1
54,nonslide,0,1,2,1,3,10,1,5,1,0,1
55,nonslide,0,1,2,2,3,7,1,4,2,2,0
